年度,類別,獎項,得獎名單
107,個人獎,迷你劇集（電視電影）男主角獎,藍葦華／公視人生劇展-青苔（報名單位：魚禾草影像有限公司、製作單位：魚禾草影像有限公司）
107,個人獎,迷你劇集（電視電影）女主角獎,陸弈靜／阿水和國祥（報名單位：回甘映像有限公司、製作單位：回甘映像有限公司）
107,個人獎,迷你劇集（電視電影）男配角獎,喜翔／華視金選劇場-阮氏碧花與她的兩個男人（報名單位：中華電視股份有限公司、製作單位：中華電視股份有限公司）
107,個人獎,迷你劇集（電視電影）女配角獎,廖怡裬／外鄉女-第三力量（報名單位：民間全民電視股份有限公司、製作單位：民間全民電視股份有限公司／青睞影視製作股份有限公司）
107,個人獎,迷你劇集（電視電影）新進演員獎,盧以恩／公視人生劇展-青苔（報名單位：魚禾草影像有限公司、製作單位：魚禾草影像有限公司）
107,個人獎,戲劇節目導演獎,何潤東、姜瑞智／翻牆的記憶（報名單位：聯利媒體股份有限公司、製作單位：聯利媒體股份有限公司）
107,個人獎,迷你劇集（電視電影）導演獎,鄭有傑／他們在畢業的前一天爆炸2（報名單位：財團法人公共電視文化事業基金會、製作單位：一期一會影像製作有限公司）
107,個人獎,非戲劇類節目導演獎,林泰瑋／十點全紀錄-小白鶴的報恩 來自天堂的信差（報名單位：春雷創意顧問有限公司、製作單位：春雷創意顧問有限公司）
107,個人獎,非戲劇類節目導播獎,劉應鐘／希望之星（報名單位：友松娛樂股份有限公司、製作單位：友松娛樂股份有限公司／中國電視事業股份有限公司）
107,個人獎,戲劇節目編劇獎,樓一安、莫子儀／客家劇場–台北歌手（報名單位：客家電視台、製作單位：內容物數位電影製作有限公司）
107,個人獎,迷你劇集（電視電影）編劇獎,曾英庭、周語莊／高山上的茶園（報名單位：溫柔鄉電影有限公司、製作單位：溫柔鄉電影有限公司）
107,個人獎,自然科學紀實節目主持人獎,陳家頤／驚奇！博物館（報名單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司）
107,個人獎,人文紀實節目主持人獎,舒夢蘭／聚焦全世界（報名單位：東森電視事業股份有限公司、製作單位：東森電視事業股份有限公司）
107,個人獎,兒童少年節目主持人獎,阿芹妹【鍾依芹】、阿迪牯【吳政迪】／麼个麼个（報名單位：客家電視台、製作單位：客家電視台）
107,個人獎,生活風格節目主持人獎,廖科溢／秘境˙不思溢III（報名單位：亞洲衛星電視股份有限公司、製作單位：亞洲衛星電視股份有限公司）
107,個人獎,綜藝節目主持人獎,胡瓜【胡自雄】、阿翔【陳秉立】、謝忻【謝若葦】／綜藝大集合（報名單位：民間全民電視股份有限公司、製作單位：民間全民電視股份有限公司 ／ 大藝娛樂企業有限公司）
107,個人獎,益智及實境節目主持人獎,吳宗憲、KID【林柏昇】／綜藝玩很大（報名單位：三立電視股份有限公司、製作單位：好看娛樂股份有限公司）
107,個人獎,攝影獎,袁緒虎、傅士英／海•人•魚（報名單位：財團法人原住民族文化事業基金會、製作單位：緒虎製作有限公司）
107,個人獎,剪輯獎,林泰瑋／十點全紀錄-小白鶴的報恩 來自天堂的信差（報名單位：春雷創意顧問有限公司、製作單位：春雷創意顧問有限公司）
107,個人獎,音效獎,周震、福多瑪／公視學生劇展-棘（報名單位：晶體影像製作有限公司、製作單位：晶體影像製作有限公司）
107,個人獎,燈光獎,陳冠廷／客家劇場–台北歌手（報名單位：客家電視台、製作單位：內容物數位電影製作有限公司）
107,個人獎,美術設計獎,林仲賢、麥可【王郁文】、儲旭【儲榢逸】、凃維廷／麻醉風暴2（報名單位：瀚草影視文化事業股份有限公司、製作單位：財團法人公共電視文化事業基金會／瀚草影視文化事業股份有限公司）
107,節目創新獎,節目創新獎,客家劇場–台北歌手（參賽者：高君亭、陳南宏、樓一安、製作單位：內容物數位電影製作有限公司）
107,特別獎項（得主）,終身成就獎,劉立立女士
107,特別獎項（得主）,特別貢獻獎,高振鵬先生
108,節目獎,戲劇節目獎,"我們與惡的距離（參賽/報名單位：財團法人公共電視文化事業基金會,大慕影藝國際事業有限公司）"
108,節目獎,迷你劇集獎,奇蹟的女兒（參賽/報名單位：財團法人公共電視文化事業基金會）
108,節目獎,電視電影獎,你的孩子不是你的孩子-貓的孩子（參賽/報名單位：財團法人公共電視文化事業基金會）
108,節目獎,自然科學紀實節目獎,打開社會事件S檔案（參賽/報名單位：東臺傳播股份有限公司）
108,節目獎,人文紀實節目獎,藝術很有事（參賽/報名單位：財團法人公共電視文化事業基金會）
108,節目獎,兒童少年節目獎,台灣特有種（參賽/報名單位：財團法人公共電視文化事業基金會）
108,節目獎,生活風格節目獎,水下三十米（參賽/報名單位：動能意像製作有限公司）
108,節目獎,綜藝節目獎,"聲林之王（參賽/報名單位：東森新媒體控股股份有限公司,量子娛樂製作股份有限公司）"
108,節目獎,益智及實境節目獎,一呼百應（參賽/報名單位：財團法人公共電視文化事業基金會）
108,節目獎,動畫節目獎,小兒子（參賽/報名單位：夢田影像股份有限公司）
108,個人獎,戲劇節目男主角獎,龍劭華【陳坤倉】／菜頭梗的滋味（參賽/報名單位：財團法人慈濟傳播人文志業基金會）
108,個人獎,戲劇節目女主角獎,賈靜雯／我們與惡的距離（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,戲劇節目男配角獎,溫昇豪／我們與惡的距離（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,戲劇節目女配角獎,曾沛慈／我們與惡的距離（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,戲劇節目新進演員獎,梁舒涵／女兵日記（參賽/報名單位：聯利媒體股份有限公司）
108,個人獎,迷你劇集（電視電影）男主角獎,吳朋奉／公視人生劇展第一響槍（參賽/報名單位：英傑哆股份有限公司）
108,個人獎,迷你劇集（電視電影）女主角獎,鍾欣凌／你的孩子不是你的孩子-貓的孩子（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,迷你劇集（電視電影）男配角獎,黃鐙輝／奇蹟的女兒（參賽/報名單位：綠光全傳播有限公司）
108,個人獎,迷你劇集（電視電影）女配角獎,陸弈靜【丁怡境】／公視人生劇展—3天2夜（參賽/報名單位：浩溥電影有限公司）
108,個人獎,迷你劇集（電視電影）新進演員獎,梁湘華／公視人生劇展 最美的風景（參賽/報名單位：野火娛樂製作有限公司）
108,個人獎,戲劇節目導演獎,林君陽／我們與惡的距離（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,迷你劇集（電視電影）導演獎,陳慧翎、余慧君／你的孩子不是你的孩子-貓的孩子（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,非戲劇類節目導演獎,劉嵩／農村的遠見（參賽/報名單位：寶花傳播有限公司）
108,個人獎,非戲劇類節目導播獎,李麗芳／台視17Q（參賽/報名單位：臺灣電視事業股份有限公司）
108,個人獎,戲劇節目編劇獎,呂蒔媛／我們與惡的距離（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,迷你劇集（電視電影）編劇獎,靳家驊／華視金選劇場-夏之橘（參賽/報名單位：創藝玖玖電影製作有限公司）
108,個人獎,自然科學及人文紀實節目主持人獎,吳奕蓉／幕後有藝思（參賽/報名單位：客家電視台）
108,個人獎,兒童少年節目主持人獎,Lan-pao【薛紀綱】／Kakudan時光機（參賽/報名單位：財團法人原住民族文化事業基金會）
108,個人獎,生活風格節目主持人獎,大霈【李霈瑜】／水下三十米（參賽/報名單位：動能意像製作有限公司）
108,個人獎,綜藝節目主持人獎,黃子佼、卜學亮／超級同學會（參賽/報名單位：中華電視股份有限公司）
108,個人獎,益智及實境節目主持人獎,黄子佼、吳姍儒／一呼百應（參賽/報名單位：財團法人公共電視文化事業基金會）
108,個人獎,戲劇類節目攝影獎,韓紀軒／憤怒的菩薩（參賽/報名單位：貝唐賀電影有限公司）
108,個人獎,非戲劇類節目攝影獎,楊守義、彭之軒、LUCAS KAO、陳耀寬、凌柏瑋／透視內幕 棲蘭秘境馬拉松（參賽/報名單位：美商國家地理頻道有限公司台灣分公司）
108,個人獎,戲劇類節目剪輯獎,吳姿瑩／你的孩子不是你的孩子-貓的孩子（參賽/報名單位：移動小姐文字光影創作室）
108,個人獎,非戲劇類節目剪輯獎,洪瑞憶／呦呦自在楊英風（參賽/報名單位：符號文化股份有限公司）
108,個人獎,音效獎,高偉晏、張劭庭、嚴唯甄／公視新創短片-最後一次溫柔（參賽/報名單位：魔幻時刻電影有限公司）
108,個人獎,燈光獎,許世明／靈佔（參賽/報名單位：尚尚國際多媒體製作有限公司）
108,個人獎,美術設計獎,吳若昀、黃明仁、賴琬婷、王重治、姚良奇、林佳齡／你的孩子不是你的孩子-貓的孩子（參賽/報名單位：移動小姐文字光影創作室）
108,節目創新獎,節目創新獎,台灣特有種（參賽/報名單位：財團法人公共電視文化事業基金會）
108,特別獎項（得主）,終身成就獎,張小燕女士
109,節目獎,戲劇節目獎,想見你（參賽單位：香港商福斯傳媒有限公司台灣分公司／三鳳有限公司、製作單位：香港商福斯傳媒有限公司台灣分公司／三鳳有限公司）
109,節目獎,迷你劇集獎,俗女養成記（參賽單位：中華電視股份有限公司、製作單位：中華電視股份有限公司／百戲電影製作有限公司）
109,節目獎,電視電影獎,新創電影短片 大吉（參賽單位：寓言工作室、製作單位：寓言工作室）
109,節目獎,自然科學紀實節目獎,消失的王者（參賽單位：東森電視事業股份有限公司、製作單位：東森電視事業股份有限公司）
109,節目獎,人文紀實節目獎,ivucung誰謎了路（參賽單位：財團法人原住民族文化事業基金會、製作單位：財團法人原住民族文化事業基金會）
109,節目獎,兒童少年節目獎,出發騎幻島（參賽單位：財團法人公共電視文化事業基金會／五夠讚股份有限公司、製作單位：財團法人公共電視文化事業基金會／五夠讚股份有限公司）
109,節目獎,生活風格節目獎,我在市場待了一整天（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
109,節目獎,綜藝節目獎,綜藝大熱門（參賽單位：三立電視股份有限公司、製作單位：三立電視股份有限公司／好看娛樂製作股份有限公司）
109,節目獎,益智及實境節目獎,全民星攻略（參賽單位：東森電視事業股份有限公司、製作單位：友松娛樂股份有限公司）
109,節目獎,動畫節目獎,FOOD超人第二季（參賽單位：財團法人公共電視文化事業基金會／風車圖書出版有限公司、製作單位：風車圖書出版有限公司）
109,個人獎,戲劇節目男主角獎,姚淳耀／鏡子森林（報名單位：民間全民電視股份有限公司、製作單位：民間全民電視股份有限公司／綠光全傳播有限公司）
109,個人獎,戲劇節目女主角獎,柯佳嬿／想見你（報名單位：三鳳有限公司、製作單位：香港商福斯傳媒有限公司台灣分公司／三鳳有限公司）
109,個人獎,戲劇節目男配角獎,馬力歐／國際橋牌社（報名單位：馬克吐溫國際影像有限公司、製作單位：馬克吐溫國際影像有限公司）
109,個人獎,戲劇節目女配角獎,蔡淑臻／噬罪者（報名單位：嘉揚電影有限公司、製作單位：嘉揚電影有限公司／財團法人公共電視文化事業基金會）
109,個人獎,戲劇節目最具潛力新人獎,李沐／誰是被害者（報名單位：瀚草影視文化事業股份有限公司、製作單位：良人行影業有限公司／瀚草影視文化事業股份有限公司／台灣大哥大股份有限公司）
109,個人獎,迷你劇集（電視電影）男主角獎,游安順／新創電影短片 大吉（報名單位：寓言工作室、製作單位：寓言工作室）
109,個人獎,迷你劇集（電視電影）女主角獎,吳奕蓉／客家電視電影院—大桔大利 闔家平安（報名單位：客家電視台、製作單位：泰尹傳播有限公司）
109,個人獎,迷你劇集（電視電影）男配角獎,游安順／公視人生劇展盲人阿清（報名單位：深邃電影有限公司、製作單位：深邃電影有限公司）
109,個人獎,迷你劇集（電視電影）女配角獎,琇琴 【于子育】／俗女養成記（報名單位：中華電視股份有限公司、製作單位：中華電視股份有限公司／百戲電影製作有限公司）
109,個人獎,迷你劇集（電視電影）最具潛力新人獎,白小櫻／住戶公約第一條（報名單位：鏡文學股份有限公司、製作單位：鏡文學股份有限公司）
109,個人獎,戲劇節目導演獎,高炳權、曾英庭／用九柑仔店（報名單位：三立電視股份有限公司、製作單位：三立電視股份有限公司／香港商福斯傳媒有限公司台灣分公司／華人創作股份有限公司／鹿路電影有限公司／內容物數位電影製作有限公司）
109,個人獎,迷你劇集（電視電影）導演獎,林志儒／客家電視電影院—大桔大利 闔家平安（報名單位：客家電視台、製作單位：泰尹傳播有限公司）
109,個人獎,非戲劇類節目導演獎,柯金源／紀錄觀點 神殿（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
109,個人獎,非戲劇類節目導播獎,李麗芳／第15屆KKBOX風雲榜頒獎典禮（報名單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司）
109,個人獎,戲劇節目編劇獎,簡奇峯、林欣慧／想見你（報名單位：三鳳有限公司、製作單位：香港商福斯傳媒有限公司台灣分公司／三鳳有限公司）
109,個人獎,迷你劇集（電視電影）編劇獎,靳家驊／新創電影短片 大吉（報名單位：寓言工作室、製作單位：寓言工作室）
109,個人獎,自然科學及人文紀實節目主持人獎,吳秀梅Siku Sawmah／原味好時尚（報名單位：花點心師有限公司、製作單位：花點心師有限公司）
109,個人獎,兒童少年節目主持人獎,Buya【陳宇】、Pangoyod【鍾家駿】／kakudan時光機（報名單位：財團法人原住民族文化事業基金會、製作單位：財團法人原住民族文化事業基金會）
109,個人獎,生活風格節目主持人獎,高怡平／家庭八點檔轉轉發現愛（報名單位：米迦勒傳播事業股份有限公司、製作單位：米迦勒傳播事業股份有限公司）
109,個人獎,綜藝節目主持人獎,浩子【謝炘昊】、乱彈阿翔【陳泰翔】／台灣金頌（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會／奇妙創造股份有限公司）
109,個人獎,益智及實境節目主持人獎,曾國城、蔡尚樺／全民星攻略（報名單位：東森電視事業股份有限公司、製作單位：友松娛樂股份有限公司）
109,個人獎,戲劇類節目攝影獎,周宜賢、楊豐銘、孫紀明／罪夢者（報名單位：新加坡商棱聚傳播有限公司台灣分公司、製作單位：新加坡商棱聚傳播有限公司台灣分公司）
109,個人獎,非戲劇類節目攝影獎,陳錦亮、梁勇光、周劭杰、劉志雄、劉燕樟／我在市場待了一整天（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
109,個人獎,戲劇類節目剪輯獎,林政宏／俗女養成記（報名單位：中華電視股份有限公司、製作單位：中華電視股份有限公司／百戲電影製作有限公司）
109,個人獎,非戲劇類節目剪輯獎,滕兆鏘／真世代—媽祖住我家（報名單位：鑫傳視訊廣告股份有限公司、製作單位：鑫隆多媒體股份有限公司）
109,個人獎,聲音設計獎,高偉晏、鄭元凱、許家維、黃鎮洋、湯湘竹／罪夢者（報名單位：新加坡商棱聚傳播有限公司台灣分公司、製作單位：新加坡商棱聚傳播有限公司台灣分公司）
109,個人獎,燈光獎,謝松銘／罪夢者（報名單位：新加坡商棱聚傳播有限公司台灣分公司、製作單位：新加坡商棱聚傳播有限公司台灣分公司）
109,個人獎,美術設計獎,梁碩麟、施筱柔／罪夢者（報名單位：新加坡商棱聚傳播有限公司台灣分公司、製作單位：新加坡商棱聚傳播有限公司台灣分公司）
109,節目創新獎,節目創新獎,我在市場待了一整天（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
109,節目創新獎,節目創新獎,想見你（參賽單位：香港商福斯傳媒有限公司台灣分公司／三鳳有限公司、製作單位：香港商福斯傳媒有限公司台灣分公司／三鳳有限公司）
109,特別獎項,特別獎項,林正雄先生（藝名：林義雄）
109,特別獎項,特別獎項,陳麗如女士（藝名：小鳳仙）
