年度,類別,獎項,得獎名單
103,節目獎,綜合節目獎,元氣好時光（參賽單位：正聲廣播股份有限公司臺北調頻廣播電臺）
103,節目獎,社區節目獎,有原來相會（參賽單位：國立教育廣播電臺）
103,節目獎,廣播劇獎,"「時光隧道」~發現1624,Lost in Dutch Formosa（參賽單位：財團法人中央廣播電臺）"
103,節目獎,單元節目獎,音樂旅行（參賽單位：高雄廣播電臺）
103,個人獎,流行音樂節目主持人獎,黃子佼／哥哥妹妹有意思之哥哥露兩點（報名單位：飛碟廣播股份有限公司）
103,個人獎,非流行音樂節目主持人獎,北原山貓【吳廷宏（杜賴瓦旦）】／北原山貓聊天來~依呀呼（報名單位：財團法人中央廣播電臺）
103,個人獎,教育文化節目主持人獎,黃迺毓、劉清彥／閱讀推手（報名單位：好家庭廣播股份有限公司）
103,個人獎,兒童節目主持人獎,趙自強／九點強強滾（報名單位：台灣全民廣播電台股份有限公司）
103,個人獎,少年節目主持人獎,唐妮【吳文嫦】、季潔【蔡宜穎】／少年超優Show（報名單位：國立教育廣播電臺）
103,個人獎,社會關懷節目主持人獎,朱玉娟／轉角有藍天（報名單位：國立教育廣播電臺）
103,個人獎,藝術文化節目主持人獎,林夢萍、王晴／現在演哪齣（報名單位：內政部警政署警察廣播電臺總臺）
103,個人獎,綜合節目主持人獎,宋少卿、李維真／週末大舞台（報名單位：財團法人中央廣播電臺）
103,個人獎,社區節目主持人獎,潘國正、洪惠冠／愛上新竹（報名單位：竹科廣播股份有限公司）
103,個人獎,企劃編撰獎,田麗雲、李心茹／午后文學館–青番公的故事（報名單位：竹科廣播股份有限公司）
103,個人獎,音效獎,"林建成、徐進輝／「時光隧道」~發現1624,Lost in Dutch Formosa（報名單位：財團法人中央廣播電臺）"
103,廣告獎,商品類廣告獎,1111人力銀行 電話語音篇（參賽單位：晴天廣告有限公司）
103,廣告獎,非商品類廣告獎,飛行狂響（參賽單位：正聲廣播股份有限公司臺北調頻廣播電臺）
103,電臺獎,電臺臺呼獎,路況報馬仔–FM94.5、就是點我系列（參賽單位：內政部警政署警察廣播電臺臺中分臺）
103,電臺獎,電臺品牌行銷創新獎,央廣85˙RTI無所不在（參賽單位：財團法人中央廣播電臺）
103,數位應用獎,電臺臺呼獎,飛碟廣播股份有限公司／飛碟聯播網APP（中華民國廣播商業同業公會推薦）
104,節目獎,流行音樂節目獎,音樂五四三（參賽單位：台灣全民廣播電台股份有限公司）
104,節目獎,非流行音樂節目獎,音樂二三事（參賽單位：國立教育廣播電臺）
104,節目獎,教育文化節目獎,臺灣文學作家系列（參賽單位：財團法人中央廣播電臺）
104,節目獎,兒童節目獎,小偵探看媒體（參賽單位：國立教育廣播電臺）
104,節目獎,少年節目獎,翻轉地圖（參賽單位：內政部警政署警察廣播電臺）
104,節目獎,社會關懷節目獎,快樂麥克風（參賽單位：全景社區廣播電台股份有限公司）
104,節目獎,藝術文化節目獎,談天說地講臺灣（參賽單位：財團法人中央廣播電臺）
104,節目獎,綜合節目獎,用心聽台灣（參賽單位：國立教育廣播電臺）
104,節目獎,社區節目獎,樂活社區水噹噹（參賽單位：正聲廣播股份有限公司臺中廣播電臺）
104,節目獎,廣播劇獎,假日聽電影（參賽單位：正聲廣播股份有限公司高雄廣播電臺）
104,節目獎,單元節目獎,寶島新故鄉（參賽單位：寶島新聲廣播電臺股份有限公司）
